Município,Data da Coleta,Resultado
PIACATU                                                     ,2014-10-21,0.0
DELMIRO GOUVEIA                                             ,2015-05-27,0.0
DELMIRO GOUVEIA                                             ,2015-05-27,0.0
PALMEIRA DOS INDIOS                                         ,2015-07-21,0.0
DELMIRO GOUVEIA                                             ,2015-05-27,185.0
DELMIRO GOUVEIA                                             ,2015-08-05,4156.0
CABO DE SANTO AGOSTINHO                                     ,2015-11-10,0.04
CABO DE SANTO AGOSTINHO                                     ,2015-11-10,0.0
JABOATAO DOS GUARARAPES                                     ,2015-10-13,0.0
SAO JOSE DOS PINHAIS                                        ,2015-08-03,0.0
TROMBAS                                                     ,2015-08-16,0.0
TROMBAS                                                     ,2015-01-27,0.0
TROMBAS                                                     ,2015-05-07,0.0
TROMBAS                                                     ,2015-05-07,0.0
TROMBAS                                                     ,2015-08-16,0.0
TROMBAS                                                     ,2015-12-15,0.0
TROMBAS                                                     ,2015-01-27,0.0
MACAPARANA                                                  ,2015-11-30,0.0
DRACENA                                                     ,2015-10-21,0.02
SERRA TALHADA                                               ,2015-10-21,12802.0
PROFESSOR JAMIL                                             ,2015-01-30,0.0
LAGOA DO CARRO                                              ,2015-12-07,0.21
LAGOA DO CARRO                                              ,2015-11-09,0.0
BARRA DO GARCAS                                             ,2015-09-29,0.1
SERRA TALHADA                                               ,2015-11-24,0.0
MARAVILHAS                                                  ,2014-08-27,100.0
SERRA TALHADA                                               ,2015-11-17,0.25
SERRA TALHADA                                               ,2015-11-17,0.0
FEIRA NOVA                                                  ,2015-11-03,0.19
FEIRA NOVA                                                  ,2015-11-12,6926.0
FEIRA NOVA                                                  ,2015-11-12,635114.0
SERRA TALHADA                                               ,2015-11-24,0.09
SERRA TALHADA                                               ,2015-12-14,2.0
SERRA TALHADA                                               ,2015-11-09,52023.0
GARANHUNS                                                   ,2016-05-24,3.69
SAO VICENTE FERRER                                          ,2016-09-26,900.0
GARANHUNS                                                   ,2016-10-26,5329.0
SALGUEIRO                                                   ,2016-02-16,0.0
SALGUEIRO                                                   ,2016-08-15,462.0
CABO DE SANTO AGOSTINHO                                     ,2016-08-30,14637.0
SAO VICENTE FERRER                                          ,2016-05-23,1570.0
SAO VICENTE FERRER                                          ,2016-06-27,20124.0
CABO DE SANTO AGOSTINHO                                     ,2016-02-22,914.0
CABO DE SANTO AGOSTINHO                                     ,2016-06-10,0.4
